"eh1" "eh2" "p.val" "adj.pval"
923 918 0.956438678829667 1
1358 1344 0.966717770219757 1
516 557 0.345652300074045 1
1802 1837 0.967593000702326 1
185 238 0.0707551823149116 0.69367825798933
228 338 0.289862520624078 1
810 826 0.923515021250002 1
737 776 0.85756080156747 1
397 372 0.8725547891127 1
496 326 0.000641157286758966 0.0183187796216847
378 354 0.375360553869656 1
710 644 0.83306835520318 1
647 699 0.65748077759702 1
603 595 0.831571199433759 1
238 242 0.943620814930034 1
1009 1027 0.935663339867031 1
273 395 0.452965691419035 1
276 310 0.497342400167364 1
857 836 0.887391503353419 1
252 387 0.106570999706889 0.861536125373799
462 544 0.528233699970227 1
324 466 0.121108850497021 0.917491291644098
740 699 0.904711467490805 1
1050 892 0.671154528943035 1
589 497 0.592296708412498 1
380 358 0.867466569388722 1
290 439 0.255490522635274 1
280 263 0.80116073297942 1
971 963 0.985694356244688 1
188 130 0.00115745765477447 0.0282306745066943
252 282 0.814732802344391 1
136 157 0.577985892174711 1
548 454 0.620318867135966 1
325 332 0.964639016446765 1
794 947 0.135050025986086 0.952965186581982
415 389 0.656980973717322 1
510 419 0.617987055771568 1
546 583 0.304800445628328 1
317 334 0.802011719573559 1
615 475 2.19600754077143e-05 0.00109800377038571
91 92 0.951069362024989 1
467 486 0.775343721297442 1
278 288 0.915544882639029 1
123 112 0.75034305592541 1
693 566 0.649471982708682 1
510 471 0.82075109443705 1
787 881 0.449810192303079 1
315 277 0.366345421317052 1
1148 1268 0.714221042725172 1
458 429 0.698054009541579 1
2396 1904 0.442064878655557 1
334 331 0.952649360503382 1
394 366 0.855394490378275 1
263 248 0.793466426706326 1
1222 1378 0.654540016467975 1
355 581 0.320003578861179 1
1112 1107 0.992763013896121 1
842 697 0.537784034020679 1
457 428 0.820231185453265 1
305 422 0.341867672149846 1
759 704 0.80190754513555 1
674 754 0.801684099715285 1
369 291 0.233162854821301 1
565 396 0.130118575004772 0.936104856149441
668 619 0.806804635663439 1
335 341 0.888611169806334 1
119 113 0.776960116160941 1
736 679 0.618977629006798 1
